,Title,Distributor,AvgPerShow$,Net$,Gross$,Admissions,NumberShows,vote_average,popularity,adult,release_date,original_language,revenue,runtime,budget,tagline,overview,poster_path,homepage
0,100 YEAR OLD MAN,Music Box Films,71.19,2150.08,2278.0,247,31.99887624666386,0.0,0.6,False,2018-02-18,nl,0.0,0.0,0.0,,"This documentary follows an ambitious project that uses cutting-edge DNA analysis to accurately recreate the face of Britain's oldest complete skeleton, Cheddar Man",,
1,12 YEARS A SLAVE,Fox Searchlight,114.52,12964.87,13972.0,1647,122.00488997555013,7.95,34.874,False,2013-10-18,en,187000000.0,134.0,20000000.0,The extraordinary true story of Solomon Northup,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.",/xdANQijuNrJaw1HA61rDccME4Tm.jpg,http://www.foxsearchlight.com/12yearsaslave
2,127 HOURS,Fox Searchlight,99.27,10025.95,10622.0,1297,107.00110808905006,7.059,45.362,False,2010-11-12,en,35692920.0,94.0,18000000.0,There is no force more powerful than the will to live.,The true story of mountain climber Aron Ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah.,/h0RMdn0rfl9l5hWXz3tUh6QVkhi.jpg,
3,20TH CENTURY WOMEN,A24,118.38,3351.43,3551.5,389,30.000844737286705,7.341,17.664,False,2016-12-28,en,5664764.0,119.0,7000000.0,,"In 1979 Santa Barbara, California, Dorothea Fields is a determined single mother in her mid-50s who is raising her adolescent son, Jamie, at a moment brimming with cultural change and rebellion. Dorothea enlists the help of two younger women – Abbie, a free-spirited punk artist living as a boarder in the Fields' home and Julie, a savvy and provocative teenage neighbour – to help with Jamie's upbringing.",/mso2rEr9i0MilRIOao5HaWFipS9.jpg,http://www.20thcenturywomen-movie.com/
4,42,WARNER BROS.,115.12,7992.45,8634.0,1004,75.0,6.7,0.6,False,2019-03-11,fr,0.0,14.0,175000.0,,"Julie and Thomas cross the Northern forest in their 4x4. As they leave the main road, they are met by an unwelcoming man. He was obviously waiting for them, they give him a sum of money. Together they continue deeper into the woods.",/pQuagw1QCWTRFCUf0zLEC7QSUvr.jpg,https://skilllab.net/article-19-42-2
5,45 YEARS,IFC,114.74,7472.88,7917.0,868,68.99947707861251,0.0,0.6,False,2008-06-10,en,0.0,76.0,0.0,,"For nearly half a century, Shea Stadium has been home to the New York Mets and the team's millions of adoring fans. But now it's time to say goodbye, as Major League Baseball Productions pays tribute to the magical moments and miraculous events that transformed this ballpark into one of the most famous cultural landmarks in sports. Hosted by Matthew Broderick and highlighted by exciting footage of the Mets and their 45 Amazin' seasons at Shea, this video celebrates team milestones, including two World Series Championships and four National League pennants. From sports heroes to world leaders to rock 'n' roll icons, ""Shea Goodbye"" vividly captures the thrills, drama and excitement that shook a stadium...and the world.",/fbHYtiot3NPh1a5SGLA5RDRKOJ8.jpg,
6,5 FLIGHTS UP,Focus Features,92.15,9304.87,9860.5,1074,107.00488334237656,6.0,7.536,False,2014-09-05,en,1020921.0,92.0,6000000.0,A coming of age story,A long-time married couple who've spent their lives together in the same New York apartment become overwhelmed by personal and real estate-related issues when they plan to move away.,/2WI5oq2QswLB0kJFOcL7ZA5ndKr.jpg,
7,50/50,Summit Entertainment,78.74,6842.16,7244.5,894,92.00533401066802,5.6,2.294,False,1997-08-22,hi,0.0,180.0,0.0,Fun On The Run,A notorious gangster asks a career thief by the name of Nandu to steal a package worth over one crore rupees for a fee.,/1ssiQGO414xFBmelUoNWX6lTZl0.jpg,
8,71,roadside attractions,80.47,3795.26,4023.5,430,50.0,0.0,0.6,False,2012-06-22,en,0.0,0.0,0.0,,"Bellator LXXI was an mixed martial arts event held by Bellator Fighting Championships. The event took place on June 22, 2012 at the Mountaineer Casino, Racetrack and Resort in Chester, West Virginia. The card was part of Bellator's annual Summer Series and featured the opening round fights in the Summer Series Light Heavyweight Tournament. The event was distributed live in prime time by EPIX and online at SpikeTV.com.",/thpmmqLOJwcnZ8fUYx1K9qPsx4L.jpg,
9,99 HOMES,Broadgreen Pictures,46.04,1565.1,1657.5,181,36.00130321459601,6.753,11.922,False,2015-09-25,en,1411927.0,112.0,8000000.0,Greed is the only game in town.,"After his family is evicted from their home, proud and desperate construction worker Dennis Nash tries to win his home back by striking a deal with the devil and working for Rick Carver, the corrupt real estate broker who evicted him.",/cHKquMw8tT7eOjWb1ecR41soLzD.jpg,
